epoch,test,train
1,95.0,96.0
2,97.0,98.0
3,97.0,99.0
4,97.0,99.0
5,98.0,100.0
6,97.0,100.0
7,98.0,100.0
8,98.0,100.0
9,98.0,100.0
10,98.0,100.0
11,98.0,100.0
12,98.0,100.0
13,98.0,100.0
14,98.0,100.0
15,98.0,100.0
16,98.0,100.0
17,98.0,100.0
18,98.0,100.0
19,98.0,100.0
20,98.0,100.0
21,98.0,100.0
22,98.0,100.0
23,98.0,100.0
24,98.0,100.0
25,98.0,100.0
26,98.0,100.0
27,98.0,100.0
28,98.0,100.0
29,98.0,100.0
30,98.0,100.0
31,98.0,100.0
32,98.0,100.0
33,98.0,100.0
34,98.0,100.0
35,98.0,100.0
36,98.0,100.0
37,98.0,100.0
38,98.0,100.0
39,98.0,100.0
40,98.0,100.0
41,98.0,100.0
42,98.0,100.0
43,98.0,100.0
44,98.0,100.0
45,98.0,100.0
46,98.0,100.0
47,98.0,100.0
48,98.0,100.0
49,98.0,100.0
50,98.0,100.0
