epoch,test,train
1,81.0,80.0
2,87.0,86.0
3,89.0,88.0
4,90.0,89.0
5,91.0,90.0
6,91.0,91.0
7,92.0,92.0
8,92.0,92.0
9,92.0,93.0
10,93.0,93.0
11,93.0,93.0
12,93.0,94.0
13,94.0,94.0
14,94.0,94.0
15,94.0,95.0
16,94.0,95.0
17,94.0,95.0
18,94.0,95.0
19,94.0,96.0
20,94.0,96.0
21,95.0,96.0
22,95.0,96.0
23,95.0,96.0
24,95.0,97.0
25,95.0,97.0
26,95.0,97.0
27,95.0,97.0
28,95.0,97.0
29,95.0,97.0
30,95.0,97.0
31,95.0,98.0
32,95.0,98.0
33,96.0,98.0
34,96.0,98.0
35,95.0,98.0
36,96.0,98.0
37,96.0,98.0
38,96.0,98.0
39,96.0,98.0
40,96.0,99.0
41,96.0,99.0
42,96.0,99.0
43,96.0,99.0
44,96.0,99.0
45,96.0,99.0
46,96.0,99.0
47,96.0,99.0
48,96.0,99.0
49,96.0,99.0
50,96.0,99.0
