epoch,test,train
1,63.0,63.0
2,76.0,76.0
3,81.0,80.0
4,83.0,83.0
5,85.0,84.0
6,86.0,85.0
7,87.0,86.0
8,87.0,86.0
9,88.0,87.0
10,88.0,87.0
11,88.0,88.0
12,89.0,88.0
13,89.0,88.0
14,89.0,89.0
15,89.0,89.0
16,89.0,89.0
17,89.0,89.0
18,90.0,90.0
19,90.0,90.0
20,90.0,90.0
21,90.0,90.0
22,90.0,90.0
23,90.0,90.0
24,90.0,90.0
25,90.0,90.0
26,90.0,91.0
27,91.0,91.0
28,91.0,91.0
29,91.0,91.0
30,91.0,91.0
31,91.0,91.0
32,91.0,91.0
33,91.0,91.0
34,91.0,91.0
35,91.0,91.0
36,91.0,92.0
37,91.0,92.0
38,91.0,92.0
39,91.0,92.0
40,91.0,92.0
41,91.0,92.0
42,91.0,92.0
43,92.0,92.0
44,91.0,92.0
45,92.0,92.0
46,92.0,92.0
47,92.0,92.0
48,92.0,92.0
49,92.0,92.0
50,92.0,92.0
