epoch,test,train
1,11.0,10.0
2,10.0,10.0
3,11.0,10.0
4,10.0,10.0
5,10.0,11.0
6,10.0,11.0
7,12.0,11.0
8,11.0,11.0
9,12.0,11.0
10,11.0,11.0
11,11.0,11.0
12,11.0,11.0
13,11.0,11.0
14,11.0,11.0
15,12.0,11.0
16,11.0,11.0
17,11.0,11.0
18,11.0,11.0
19,11.0,11.0
20,12.0,11.0
21,12.0,12.0
22,12.0,11.0
23,11.0,11.0
24,11.0,11.0
25,11.0,11.0
26,11.0,11.0
27,11.0,11.0
28,11.0,11.0
29,11.0,11.0
30,11.0,11.0
31,11.0,11.0
32,11.0,11.0
33,11.0,11.0
34,11.0,11.0
35,11.0,11.0
36,11.0,11.0
37,11.0,11.0
38,11.0,11.0
39,11.0,11.0
40,12.0,11.0
41,11.0,11.0
42,11.0,11.0
43,11.0,11.0
44,12.0,11.0
45,11.0,11.0
46,11.0,11.0
47,11.0,11.0
48,11.0,11.0
49,11.0,11.0
50,11.0,11.0
