epoch,test
1,36.0
2,49.0
3,58.0
4,63.0
5,68.0
6,72.0
7,75.0
8,77.0
9,79.0
10,80.0
11,81.0
12,82.0
13,82.0
14,83.0
15,83.0
16,84.0
17,84.0
18,84.0
19,85.0
20,85.0
21,85.0
22,86.0
23,86.0
24,86.0
25,86.0
26,86.0
27,87.0
28,87.0
29,87.0
30,87.0
31,87.0
32,87.0
33,88.0
34,87.0
35,88.0
36,88.0
37,88.0
38,88.0
39,88.0
40,88.0
41,88.0
42,88.0
43,89.0
44,88.0
45,88.0
46,88.0
47,89.0
48,89.0
49,89.0
50,89.0
51,89.0
52,89.0
53,89.0
54,89.0
55,89.0
56,89.0
57,89.0
58,89.0
59,89.0
60,89.0
61,89.0
62,89.0
63,89.0
64,90.0
65,90.0
66,90.0
67,89.0
68,90.0
69,89.0
70,89.0
71,90.0
72,89.0
73,89.0
74,90.0
75,90.0
76,90.0
77,90.0
78,90.0
79,90.0
80,90.0
81,90.0
82,90.0
83,90.0
84,90.0
85,90.0
86,90.0
87,90.0
88,90.0
89,90.0
90,90.0
91,90.0
92,90.0
93,91.0
94,90.0
95,90.0
96,90.0
97,91.0
98,90.0
99,91.0
100,9.0
