epoch,test,train
1,90.0,89.0
2,91.0,90.0
3,91.0,91.0
4,91.0,91.0
5,92.0,91.0
6,92.0,92.0
7,92.0,92.0
8,92.0,92.0
9,92.0,92.0
10,92.0,92.0
11,92.0,92.0
12,92.0,92.0
13,92.0,92.0
14,92.0,92.0
15,92.0,92.0
16,92.0,92.0
17,92.0,92.0
18,92.0,92.0
19,92.0,92.0
20,92.0,92.0
21,92.0,92.0
22,92.0,92.0
23,92.0,93.0
24,92.0,93.0
25,92.0,93.0
26,92.0,93.0
27,92.0,93.0
28,92.0,93.0
29,92.0,93.0
30,92.0,93.0
31,92.0,93.0
32,92.0,93.0
33,92.0,93.0
34,92.0,93.0
35,92.0,93.0
36,92.0,93.0
37,92.0,93.0
38,92.0,93.0
39,92.0,93.0
40,92.0,93.0
41,92.0,93.0
42,92.0,93.0
43,92.0,93.0
44,92.0,93.0
45,92.0,93.0
46,92.0,93.0
47,92.0,93.0
48,92.0,93.0
49,92.0,93.0
50,92.0,93.0
