epoch,test,train
1,83.0,82.0
2,85.0,85.0
3,83.0,83.0
4,82.0,82.0
5,85.0,85.0
6,84.0,84.0
7,76.0,76.0
8,79.0,78.0
9,86.0,86.0
10,82.0,82.0
11,85.0,85.0
12,85.0,85.0
13,85.0,84.0
14,82.0,81.0
15,85.0,85.0
16,85.0,85.0
17,84.0,85.0
18,84.0,84.0
19,86.0,85.0
20,80.0,80.0
21,86.0,86.0
22,84.0,84.0
23,85.0,85.0
24,77.0,78.0
25,87.0,87.0
26,85.0,85.0
27,87.0,86.0
28,83.0,82.0
29,87.0,86.0
30,85.0,86.0
31,86.0,86.0
32,85.0,84.0
33,84.0,83.0
34,86.0,86.0
35,86.0,86.0
36,86.0,86.0
37,85.0,85.0
38,84.0,84.0
39,86.0,86.0
40,88.0,88.0
41,85.0,85.0
42,86.0,86.0
43,85.0,84.0
44,84.0,84.0
45,85.0,86.0
46,81.0,81.0
47,79.0,79.0
48,79.0,79.0
49,86.0,86.0
50,79.0,80.0
