epoch,test,train
1,44.0,41.0
2,56.0,54.0
3,60.0,61.0
4,64.0,65.0
5,69.0,67.0
6,70.0,70.0
7,69.0,71.0
8,72.0,72.0
9,75.0,73.0
10,73.0,74.0
11,77.0,75.0
12,76.0,75.0
13,76.0,76.0
14,77.0,76.0
15,77.0,77.0
16,78.0,77.0
17,78.0,77.0
18,78.0,77.0
19,79.0,78.0
20,79.0,78.0
21,78.0,78.0
22,79.0,78.0
23,80.0,78.0
24,79.0,78.0
25,79.0,79.0
26,79.0,79.0
27,80.0,79.0
28,80.0,79.0
29,80.0,79.0
30,80.0,79.0
31,81.0,80.0
32,80.0,80.0
33,81.0,80.0
34,81.0,80.0
35,82.0,80.0
36,80.0,80.0
37,79.0,80.0
38,80.0,80.0
39,81.0,80.0
40,82.0,80.0
41,81.0,80.0
42,81.0,81.0
43,81.0,81.0
44,81.0,81.0
45,81.0,81.0
46,81.0,81.0
47,82.0,81.0
48,82.0,81.0
49,82.0,81.0
50,81.0,81.0
