epoch,test,train
1,25.04,22.334
2,29.72,28.424
3,28.62,31.232
4,34.86,33.008
5,34.09,34.61
6,39.36,36.522
7,41.49,37.974
8,39.55,39.524
9,46.49,41.276
10,42.61,43.06
11,46.64,43.258
12,47.08,44.982
13,46.93,45.802
14,47.22,46.918
15,49.86,47.458
16,53.33,48.326
17,50.01,49.126
18,50.41,50.218
19,50.83,50.378
20,49.56,51.102
21,53.57,51.442
22,52.79,52.126
23,49.68,53.056
24,56.44,53.406
25,52.52,54.146
26,56.48,54.868
27,58.24,55.07
28,58.44,56.068
29,57.71,56.416
30,57.46,56.626
31,56.87,57.308
32,59.33,57.27
33,57.09,58.048
34,59.08,58.272
35,60.98,58.65
36,58.45,58.856
37,61.8,59.286
38,61.53,59.784
39,60.18,60.208
40,62.11,60.446
41,57.25,60.434
42,61.1,61.14
43,62.26,61.208
44,62.28,61.558
45,62.34,62.056
46,60.84,61.58
47,55.76,62.004
48,62.72,62.06
49,60.92,62.88
50,59.49,63.236
51,61.63,63.302
52,64.54,63.768
53,65.46,64.122
54,63.69,64.162
55,65.17,64.03
56,63.12,64.78
57,64.42,64.542
58,62.76,64.79
59,63.29,65.296
60,65.33,65.492
61,64.28,65.652
62,66.4,65.402
63,62.25,65.446
64,62.36,65.862
65,66.53,65.472
66,67.32,65.92
67,66.27,66.044
68,67.47,66.212
69,61.18,67.16
70,65.67,66.862
71,68.0,66.958
72,65.45,66.974
73,66.4,67.046
74,69.85,67.096
75,67.41,67.386
76,68.07,67.39
77,66.49,67.636
78,66.21,67.95
79,66.71,67.684
80,69.65,67.95
81,68.16,67.948
82,68.31,68.168
83,64.42,68.054
84,67.94,68.512
85,67.55,68.822
86,68.59,68.23
87,68.94,68.786
88,67.29,68.418
89,69.91,68.952
90,64.87,69.022
91,70.46,68.976
92,63.6,68.978
93,68.8,69.524
94,65.29,69.692
95,67.99,69.598
96,68.26,69.856
97,70.02,69.634
98,66.9,69.4
99,68.51,69.604
100,70.85,69.992
101,69.11,69.794
102,68.72,69.726
103,69.93,70.192
104,68.97,70.29
105,70.43,70.276
106,68.76,70.06
107,69.54,70.164
108,71.0,70.566
109,69.0,70.15
110,68.22,70.548
111,68.47,70.344
112,67.35,70.77
113,69.72,70.47
114,67.41,70.802
115,67.69,70.706
116,69.55,71.032
117,70.59,70.638
118,69.21,70.956
119,70.12,70.814
120,71.97,70.426
121,71.02,71.35
122,68.96,71.244
