epoch,test,train
1,38.43,30.17
2,46.78,42.84
3,53.8,47.894
4,44.8,49.612
5,52.05,51.31
6,56.81,53.464
7,58.7,55.012
8,61.11,56.984
9,59.97,57.758
10,62.02,58.92
11,60.35,60.158
12,59.86,61.89
13,63.11,62.176
14,65.02,62.732
15,64.33,63.798
16,62.74,64.07
17,67.35,64.804
18,65.42,65.554
19,62.65,66.45
20,66.16,67.05
21,67.45,67.718
22,66.2,68.434
23,66.82,68.822
24,68.18,68.968
25,69.74,69.244
26,72.08,70.204
27,70.16,70.306
28,68.01,70.722
29,71.4,70.984
30,70.4,71.354
31,72.77,71.522
32,72.17,72.234
33,72.29,72.414
34,73.32,72.676
35,71.7,72.836
36,71.65,73.438
37,74.21,73.664
38,72.29,73.808
39,73.31,73.526
40,70.73,73.968
41,73.42,74.232
42,74.27,74.928
43,73.91,75.252
44,73.84,75.08
45,73.63,75.46
46,75.19,75.664
47,72.6,75.938
48,73.31,75.938
49,75.77,75.946
