epoch,test,train
1,10.21,10.152
2,10.01,10.136
3,10.38,9.604
4,9.62,10.038
5,10.04,9.934
6,9.88,9.88
7,10.39,9.704
8,9.66,10.014
9,9.93,9.916
10,9.9,9.998
11,10.12,9.93
12,10.12,9.866
13,9.66,10.212
14,10.06,10.152
15,10.04,10.028
16,10.1,10.312
17,10.55,9.89
18,10.01,10.134
19,9.36,10.178
20,10.2,10.13
21,10.19,10.182
22,10.07,9.976
23,10.46,10.12
24,9.2,10.17
25,9.5,10.098
26,10.05,9.78
27,10.26,10.02
28,9.75,9.966
29,10.04,9.822
30,9.81,10.032
31,9.79,10.078
32,9.8,9.974
33,9.82,10.064
34,10.26,9.884
35,9.49,10.1
36,9.73,10.168
37,10.4,9.846
38,10.13,10.128
39,10.49,10.06
40,10.32,10.15
41,10.17,9.946
42,10.02,10.018
43,9.77,10.17
44,10.07,9.998
45,9.92,10.12
46,10.6,9.974
47,10.31,9.816
48,10.16,10.124
49,10.48,10.028
