epoch,test,train
1,58.12,47.898
2,62.54,62.554
3,68.5,68.034
4,68.6,71.412
5,75.78,74.016
6,75.15,75.884
7,75.52,77.5
8,78.64,78.492
9,75.75,79.704
10,79.21,80.258
11,79.65,80.982
12,79.3,81.874
13,80.13,82.542
14,80.55,83.22
15,79.26,83.53
16,81.01,84.264
17,82.85,84.524
18,83.12,84.954
19,82.46,85.282
20,83.44,85.854
21,81.81,86.186
22,82.86,86.314
23,83.41,86.838
24,83.19,87.18
25,83.92,87.66
26,82.88,87.558
27,83.7,88.094
28,84.09,88.126
29,84.13,88.534
30,84.18,88.642
31,84.61,88.948
32,84.64,89.022
33,84.2,89.346
34,84.43,89.496
35,84.12,89.828
36,84.95,90.014
37,85.57,90.158
38,84.88,90.492
39,84.55,90.28
40,84.85,90.554
41,84.94,90.862
42,85.8,91.026
43,85.53,91.136
44,85.45,91.462
45,84.38,91.174
46,85.47,91.676
47,85.02,91.838
48,84.42,91.884
49,85.9,92.012
